"word","score"
"anlas",4.76473438560618
"navel",4.82818715651652
"gayly",3.82480055219851
"cundy",4.11042849482264
"ninja",3.51234575543143
"doggo",2.86817507434353
"juves",4.15994206109882
"heled",4.22939779374806
"faker",4.76932381638383
"table",5.2414685929213
"amens",5.38827383678325
"rases",5.47166285236337
"stuff",3.51857267790951
"salty",5.42004645136963
"ceric",4.3131426183106
"dhobi",4.12215323892208
"fates",5.50880813533019
"gambe",4.61732487980236
"jasps",3.96775312278033
"apres",5.77021062539817
"clown",4.12910140049824
"pujah",3.68997922352963
"gigue",3.927789128586
"scute",5.13511625032682
"balks",4.98025460686936
"hints",5.05685520123048
"predy",4.62958654586573
"crams",5.20828062408116
"slubs",4.18485653750902
"aghas",4.09159216668868
"skyed",4.71484262823253
"sakis",4.77101771386018
"scree",4.89961192975283
"wists",4.2603190955704
"hoing",4.36401905373697
"begum",4.02945555296163
"buiks",4.5743005969836
"tamed",5.17291076439203
"piano",4.94361512001593
"apays",4.22243165400922
"didst",4.16222634978538
"akene",4.28538679328973
"aweel",4.28667053371557
"onned",4.23797260765198
"diota",5.09579992391779
"lynch",3.9126501292102
"skirt",4.99918831625356
"gusla",4.83888571249964
"tarts",5.06690667610701
"ephod",4.24994595399046
"paved",4.56733344059837
"bunch",3.76699671151735
"gruff",3.06408178867718
"caner",5.41939884111599
"snaky",4.83175845099121
"scena",5.31471079174844
"fossa",4.11738557247231
"vaute",4.79912060446979
"paoli",5.04730358205399
"humas",4.90565528734714
"clint",4.63586664438355
"quack",3.47856247539225
"umrah",4.46723643180196
"gesse",3.68711803171735
"fards",5.14000445292046
"prude",4.79295960032414
"panne",4.54164357623647
"dopes",5.41330606130228
"toise",5.64022469600108
"whore",4.64169902971857
"rotls",5.51598827543921
"prize",4.47141153673164
"winch",3.83127914775401
"pumps",3.8210488135368
"farro",4.14067865038277
"tonka",4.82823143429243
"bahus",4.8003182429905
"cirri",3.32129491518794
"pitas",5.41952752226317
"liana",4.48011071316069
"iodid",3.26147537363661
"benga",4.69764670900709
"tolas",5.73035454334344
"maund",4.6713159944163
"tangs",5.27069022549082
"clout",4.57961035668769
"lurgy",4.32612778068462
"slang",5.05957145105006
"cleft",4.35288017506827
"ebbed",3.07654030684833
"sties",5.09526778277009
"shiso",4.25468087140845
"cello",4.28304786303483
"clads",5.16487938763921
"rebuy",4.54556648092928
"gauje",4.29347945934279
"elsin",5.17437887172474
"reffo",3.8995225747529
"liens",5.59175874058477
"gnawn",3.37572494162364
"peats",5.69727846696295
"embar",4.66785986379493
"agues",5.32781955453023
"agila",4.03979863562847
"umber",4.44030984444718
"swads",4.29304541344682
"lirot",5.18421728344179
"aspen",5.19024511970437
"jumbo",3.33929397365629
"jowar",4.08153972553857
"naric",5.02814612002636
"after",4.95761952014537
"huger",4.56668313329916
"nanos",4.85293616717657
"mozos",3.74239645505212
"cough",4.00090620565513
"feyed",3.73705310497249
"brays",5.04028261055623
"ungot",4.24679739259155
"babes",4.82042989061798
"acted",4.96473150112412
"casas",4.14395578584631
"puddy",3.28452264979535
"fouer",4.84071000300956
"sexed",4.0834094089194
"liras",5.78863074912969
"quale",4.47298957242977
"fluty",4.01433394464875
"awarn",3.93212981474649
"begot",4.59244483510501
"truck",4.1905928124016
"olein",5.06657997863252
"corbe",4.96923104211418
"baddy",3.67524847822094
"hicks",4.43392848889938
"daynt",4.75923494224533
"adaws",4.06588218037503
"rerig",4.31466070297245
"sysop",3.95140838122164
"shets",4.64823808209025
"video",4.54936711257096
"pawks",4.56399311804915
"jowly",3.54442961196648
"feres",4.7811053201852
"spake",5.18336407707265
"fakie",4.73725575536685
"tuned",4.94537984550287
"maars",4.8477478235553
"today",4.89085238419474
"bords",5.1163600198842
"umiak",4.2849422545654
"darzi",4.49061108207453
"sulph",4.5867695278011
"leeps",4.67476260074327
"thrum",4.23969562004273
"omega",4.58943024363776
"torte",4.82154866739919
"dants",5.46511310748975
"squid",4.12336033347128
"commo",2.88329228941276
"amnio",4.76928462101961
"malar",4.43176238836569
"mandi",4.74614262495981
"mined",4.91552063677704
"plims",4.87440929079453
"vauts",4.9117419126487
"gilas",5.36151104766376
"bises",4.82112940485563
"ailed",5.40019951737381
"litho",4.61608129589766
"yamun",4.45080453748083
"hoist",5.01270405092505
"idles",5.37670010753131
"dreck",4.42165238825401
"undam",4.29205300059092
"alike",5.11983942073917
"axman",3.3028664621799
"deray",5.2794280929216
"weize",3.49174299641009
"tenue",4.43951358153008
"annal",3.52512539983441
"minar",5.05173295391867
"terts",5.04423948186703
"billy",3.69279557294338
"qursh",3.88880284146868
"crocs",4.45561503903287
"momma",3.23479673901718
"eigne",4.15764024628553
"rowts",5.0547294711414
"lipos",5.20580813790918
"flied",4.68333687772169
"vasal",4.12215872106087
"weeps",4.19258525447504
"awato",3.91859866798673
"sidas",4.90330401133091
"vitex",3.92273956889912
"puker",4.59014846413717
"cease",4.85720657998225
"masus",4.60527703650676
"feels",4.45999401183693
"rared",4.84165449440996
"lotto",3.44119807658414
"hapus",4.92652181624942
"folds",4.80504351232802
"stulm",4.67815785601521
"rosit",5.40321386384714
"bulls",4.1092337659392
"mango",4.5870260532853
"pized",4.22576971975669
"hinny",3.63533902466851
"appel",4.31463058416249
"fiery",4.62506551106717
"saute",5.79959156160534
"mural",4.87677967756994
"claes",5.73947395978488
"metis",5.45667631235278
"salic",5.38381135014159
"loins",5.47072017511382
"hexad",4.24185596223065
"sally",4.6551770236799
"warre",4.51137198601283
"wince",4.53995133778526
"nashi",4.95955964378517
"smoko",3.84507565406446
"rasta",4.81450023427729
"momes",4.7814474186567
"cyton",4.36135146943536
"frate",5.13915012049464
"mensa",5.33455126418967
"minos",5.20138453648301
"prest",5.19467794138836
"perea",4.84572212405322
"jurel",4.47881798731935
"hares",5.8772850654286
"bouks",4.62941189676316
"spans",4.63756995893279
"tratt",3.72272838196392
"snide",5.36692897788227
"lotas",5.66578216072388
"arris",5.0210277754665
"pandy",4.590252635208
"figos",4.62900819099977
"polks",4.8931825674597
"chary",4.51685951539479
"plait",4.99022994185976
"soupy",4.79449852674237
"shawl",4.660923364471
"gaily",4.80414039741016
"maria",4.51408747465428
"tegus",5.1096259588656
"krays",5.00185088403983
"yrneh",4.75935183029616
"genom",4.62163249486523
"punas",5.19120603063797
"beach",4.56233859816862
"liker",4.99760982320989
"haint",4.96592455038059
"abrin",4.80908578399078
"stout",4.31828929031149
"stash",4.2931028655154
"romeo",4.46151556119692
"snark",5.11386951387352
"peens",4.67324553277204
"flint",4.3517638636891
"geres",4.9500733693737
"ferer",3.5674192626718
"raupo",4.90559227220903
"algae",4.42696070651688
"labor",4.99781351942193
"dorps",5.21545252469334
"kurta",4.75694782767316
"bhuts",4.52129960273263
"jaker",4.483943130633
"gules",5.27706011379847
"scats",4.68638015163912
"tyres",5.55555793057661
"apter",5.23039113606896
"groom",3.71165031037515
"choko",3.22757683469368
"yechy",3.48883013119304
"redip",4.8855528722151
"mungo",4.13796267868426
"papas",3.92071697900235
"kimbo",3.97803602957672
"sulfa",4.83398411334078
"gynny",2.59179027622612
"yates",5.67896394876785
"cored",5.20729933741117
"boxen",4.23749216848293
"naunt",4.21382264409421
"futon",4.23475453107519
"awake",3.87689835641472
"kicks",3.86923827001504
"imido",3.60680288525061
"toast",4.72360306931865
"bulse",4.97144316143376
"assez",4.06109833556071
"hythe",3.72347797800786
"cryer",4.11959352674641
"slush",3.98040342999633
"hulks",4.52435403717416
"sojas",4.33239411721224
"dills",4.51273657310796
"gulas",5.14794189418579
"raxed",4.73820498163899
"zouks",4.21953982499794
"gamin",4.6433583468088
"punty",4.27841109521991
"sluff",3.64032786984502
"therm",4.6079896970898
"radge",5.13846430871768
"slabs",4.61234468263078
"tanti",4.42995745596173
"swink",4.35433677330543
"odahs",4.95211775893983
"loses",5.2002542133564
"narks",5.3338684420474
"twerk",4.30710873551744
"damns",5.2108053185252
"debar",5.06357964715546
"ascus",4.33892026264007
"maker",5.02796236706924
"ytost",4.0126887630684
"makos",5.08680765789672
"annul",4.0100003039949
"rawns",5.20255651233613
"totty",3.26032518426249
"colls",4.51173500102848
"eiked",4.03905944162821
"retch",4.67847608539406
"haver",4.7344918768751
"proyn",4.49937625180568
"yogee",4.18614570387521
"wager",4.83967855242639
"wreak",4.63193718065455
"hotel",5.07361151383464
"meths",5.03458349042064
"sweet",4.48165095961972
"polka",4.6485980744903
"havoc",4.03847675201267
"phony",4.20812555953332
"tachs",5.04299130810421
"vertu",4.50712086097395
"cadis",5.32558691548919
"admix",3.83809239362744
"dukes",5.00188797079797
"glugs",3.95445926419123
"stull",4.15852117861329
"comma",3.88390391713011
"swang",4.55552555975021
"slank",5.06408277957117
"micra",4.78748289277744
"obeli",4.65072827871374
"shady",4.81568016140892
"urari",4.24389012295738
"reked",4.20191924048841
"guilt",4.51827892084145
"patte",4.59976332763538
"balsa",4.39530788983466
"khaki",3.57876991608888
"ingan",3.78083379995911
"lacks",5.00180319763258
"dabba",3.11711065947626
"spade",5.35257225975425
"nisei",4.61865586035479
"pudgy",3.77594544211479
"dunch",3.96262498982932
"kibei",3.79426315394108
"bodle",4.88589869386739
"octyl",4.19297661938742
"softs",4.36356713111879
"staff",3.951244880945
"venus",4.80420430913481
"wiels",5.19029369629578
"izard",4.30890305564399
"graph",4.36554811789803
"clipe",4.82613106411849
"houts",5.03277084945467
"eensy",4.37354057705653
"senes",4.50569578901652
"muxed",3.94472212214139
"bossy",3.87940992819982
"eikon",4.67720650693704
"impro",4.34134721467592
"pzazz",2.28173547539365
"lucky",3.88464818573728
"allot",4.39531157662775
"pilum",4.27020605057299
"lipin",3.83645023466
"chelp",4.2692158945866
"stubs",4.06025759103876
"emyds",4.59279526366542
"saxes",4.66274090891995
"morne",5.26633889415994
"anigh",4.39914431841358
"pitot",4.02282532270085
"newly",4.3925498266793
"ficin",3.36499104290678
"frack",4.11738753592763
"gusts",4.19668789264363
"dildo",4.0424039817557
"inker",4.74385317268216
"tozie",4.70879003846516
"slosh",4.24147144758816
"losed",5.43579244181177
"bubbe",2.95521983350395
"heast",5.38277665153569
"alter",5.49276478072694
"easer",5.12919394579562
"pilow",4.30381559834314
"shoat",5.31760106532236
"gleam",4.74679964037017
"unfed",4.21897697616224
"sprat",5.38171453609027
"peeps",3.85914556817929
"gonif",4.20461468821064
"stoep",5.34460141851456
"perst",5.34040887529516
"talar",4.67638184844015
"sucky",4.25502740911597
"sabir",5.42059965989962
"durzi",3.99914487535685
"thuja",3.84196476480397
"somas",4.87687182329152
"amigo",4.47921710811853
"orbit",4.70430926805895
"quest",4.29324106046338
"cohen",4.76767288176531
"flobs",4.52387338858998
"girth",4.50314525138594
"menus",5.18744227622474
"batty",3.93090141304151
"mages",5.44496434070703
"shirr",4.35025179949547
"gulfy",3.71500265968396
"silts",4.84503669645682
"lahal",3.38952893108178
"visit",3.79560139139981
"trass",5.04271019494906
"users",4.69651797595344
"larks",5.41375367597156
"spitz",4.28479628844011
"ronne",4.65985103286295
"kyrie",4.81172796616925
"prims",4.99374143809714
"ayins",5.23833617822391
"gloom",3.57465892023152
"soldi",5.23074757761645
"dupes",5.13789603850596
"seare",5.36858367368192
"haply",4.4717190570594
"bendy",4.45021544737884
"siree",5.32124639228321
"jelab",4.30717761042973
"chiao",4.64997394072105
"woads",5.06300751413742
"stood",4.31732173335533
"pried",5.09322728789156
"modem",4.11077099983958
"dicer",5.01160339684452
"purda",4.72360434081687
"swoun",4.59090073084028
