"word","score"
"anlas",851.174067221708
"navel",792.22880049337
"gayly",1906.00755473327
"cundy",1906.11100832562
"ninja",2114.28862164662
"doggo",3664.54131976565
"juves",1209.80496453901
"heled",1504.41658957755
"faker",841.416589577552
"table",651.165587419056
"amens",525.59127351218
"rases",456.940487203207
"stuff",2017.66265803269
"salty",583.311748381129
"ceric",1184.88945420907
"dhobi",1560.21924144311
"fates",472.210761640456
"gambe",1057.78661732963
"jasps",1474.54949121184
"apres",405.894233734197
"clown",1620.76318223867
"pujah",2070.99922910885
"gigue",1566.73172987974
"scute",681.442645698427
"balks",826.831945729263
"hints",876.355226641998
"predy",1165.99429540549
"crams",669.451279679309
"slubs",1512.93092815294
"aghas",1326.19642306506
"skyed",878.764724020968
"sakis",880.762719703978
"scree",777.238205365402
"wists",1427.15926611163
"hoing",1415.5046253469
"begum",1648.31668208449
"buiks",1175.5015417823
"tamed",664.196114708603
"piano",810.754394079556
"apays",1210.66188714154
"didst",1394.01017576318
"akene",1223.43509096516
"aweel",1215.83564600678
"onned",1335.82176996608
"diota",723.495837187789
"lynch",1890.4876657416
"skirt",789.357847671909
"gusla",904.27304964539
"tarts",721.420135676842
"ephod",1300.89978415048
"paved",1046.21122417515
"bunch",2369.61979648474
"gruff",3218.0390070922
"caner",549.916435399322
"snaky",891.469472710453
"scena",543.458680234351
"fossa",1215.85507246377
"vaute",833.898088189948
"paoli",722.570459451126
"humas",891.323157570151
"clint",1192.07924761024
"quack",2267.92861547949
"umrah",1183.0918902251
"gesse",1738.1884057971
"fards",675.473943879124
"prude",1020.83919210607
"panne",1054.82917052112
"dopes",570.663428923836
"toise",452.977644156645
"whore",1025.11378353376
"rotls",509.294480419365
"prize",1154.77736663583
"winch",2210.55689176688
"pumps",1957.51557200123
"farro",1338.693031144
"tonka",968.105149552883
"bahus",868.611779216775
"cirri",2695.65294480419
"pitas",589.478723404255
"liana",1165.50724637681
"iodid",2538.70752389763
"benga",1004.94542090657
"tolas",444.503854455751
"maund",1129.21800801727
"tangs",659.416897934012
"clout",1220.88374961455
"lurgy",1497.04594511255
"slang",727.986123959297
"cleft",1311.2397471477
"ebbed",2905.60514955288
"sties",681.023589269195
"shiso",1214.41350601295
"cello",1269.98334875116
"clads",679.265803268578
"rebuy",1118.05396238051
"gauje",1170.82099907493
"elsin",639.895929694727
"reffo",1427.79725562751
"liens",496.36278137527
"gnawn",2527.7119950663
"peats",464.393925377737
"embar",941.854918285538
"agues",513.412580943571
"agila",1570.4907493062
"umber",1168.62950971323
"swads",1242.07585568918
"lirot",687.040394696269
"aspen",585.239901325933
"jumbo",2751.2474560592
"jowar",1366.82485353068
"naric",763.631205673759
"after",738.548720320691
"huger",1095.41520197348
"nanos",740.127967930928
"mozos",1874.55689176688
"cough",2023.2135368486
"feyed",2113.6914893617
"brays",713.561517113784
"ungot",1497.28615479494
"babes",700.432624113475
"acted",757.154949121184
"casas",1373.5528831329
"puddy",3163.93647856923
"fouer",828.421214924453
"sexed",1398.62102991058
"liras",399.45652173913
"quale",1003.58741905643
"fluty",1963.76472402097
"awarn",1648.25840271354
"begot",1046.94588344126
"truck",1628.57200123343
"olein",697.457292630281
"corbe",886.785846438483
"baddy",2112.47409805735
"hicks",1339.54532839963
"daynt",987.280141843972
"adaws",1321.98704902868
"rerig",1244.29155103299
"sysop",1564.37126117792
"shets",1072.91458526056
"video",1032.36663583102
"pawks",1120.13336416898
"jowly",2399.38082022818
"feres",907.128893000308
"spake",629.168670983657
"fakie",857.950817144619
"tuned",894.268578476719
"maars",848.86524822695
"today",867.212303422757
"bords",766.326549491212
"umiak",1266.68300955905
"darzi",1086.55858772741
"sulph",1212.21600370028
"leeps",963.99830403947
"thrum",1556.34027135369
"omega",929.547641073081
"torte",909.879586802344
"dants",549.631051495529
"squid",1341.38051187172
"commo",3699.41366019118
